Rank,Name,Country,Age,NetWorth,Source of Wealth
959,Liang Yunchao,China,47,1.9,Nutrition Supplements
959,Howard Marks,United States,69,1.9,Private Equity
959,"Drayton McLane, Jr.",United States,79,1.9,"Wal-Mart, Logistics"
959,Thomas Meyer,Switzerland,56,1.9,Apparel Retailer
959,N.R. Narayana Murthy,India,69,1.9,Software Services
959,David Nahmad,Monaco,68,1.9,Art
959,Renata de Camargo Nascimento,Brazil,65,1.9,Construction
959,Madeleine Olsson Ericksson,Sweden,71,1.9,Diversified
959,Regina de Camargo Pires Oliveira Dias,Brazil,62,1.9,Construction
959,Murdaya Poo,Indonesia,75,1.9,Diversified
959,Que Wenbin,China,52,1.9,Pharmaceuticals
959,Luigi Rovati,Italy,87,1.9,Pharmaceuticals
959,Seo Jung-Jin,South Korea,58,1.9,Biotechnology
959,Yuri Shefler,Russia,48,1.9,Alcohol
959,Shin Chang-Jae,South Korea,62,1.9,Insurance
959,Jon Stryker,United States,57,1.9,Medical Equipment
959,Sunny Varkey,India,58,1.9,Education
959,Vincent Viola,United States,60,1.9,Electronic Trading
959,Radovan Vitek,Czechia,44,1.9,Real Estate
959,Wang Jing,China,43,1.9,Telecom Services
959,Meg Whitman,United States,59,1.9,Ebay
959,Wu Zhigang,China,81,1.9,Food
959,Yao Zhenhua,China,46,1.9,Logistics & Real Estate
959,Denise York,United States,65,1.9,San Francisco 49ers
959,Zhou Chengjian,China,50,1.9,Apparel Retailer
1011,George Argyros,United States,79,1.8,"Real Estate, Investments"
1011,Edward Bass,United States,71,1.8,"Oil, Investments"
1011,Lee Bass,United States,59,1.8,"Oil, Investments"
1011,Sid Bass,United States,73,1.8,"Oil, Investments"
1011,Norman Braman,United States,83,1.8,"Art, Car Dealerships"
1011,Thomas Bruch,Germany,65,1.8,Food Retailing
1011,Cao Longxiang,China,58,1.8,Pharmaceuticals
1011,Chang Yun Chung,Singapore,97,1.8,Shipping
1011,Chen Hua,China,50,1.8,Real Estate
1011,Hasmukh Chudgar,India,82,1.8,Pharmaceuticals
1011,James Clark,United States,71,1.8,"Netscape, Investments"
1011,Cui Lijie,Hong Kong,57,1.8,Gambling
1011,Andrew Currie,United Kingdom,60,1.8,Chemicals
1011,Sanford Diller,United States,88,1.8,Real Estate
1011,Hedda Brahm Droege,Germany,61,1.8,Consulting
1011,Fang Wei,China,42,1.8,Steel
1011,Clement Fayat,France,84,1.8,Construction
1011,Kenneth Feld,United States,67,1.8,"Circus, Live Entertainment"
1011,Esther Grether,Switzerland,80,1.8,"Art Collection, Swatch"
1011,Gudrun Heine,Germany,61,1.8,Medical Devices
1011,Michael Hintze,Australia,62,1.8,Investment
1011,Rakesh Jhunjhunwala,India,55,1.8,Investments
1011,Jiang Rensheng,China,62,1.8,Vaccine Production
1011,Suna Kirac,Turkey,74,1.8,Diversified
1011,Jeffrey Lurie,United States,64,1.8,Philadelphia Eagles
1011,Maggie Magerko,United States,50,1.8,Building Materials
1011,Arturo Moreno,United States,69,1.8,Billboards
1011,Mario Moretti Polegato,Italy,63,1.8,Shoes
1011,Manuel Moroun,United States,88,1.8,Transportation
1011,Farhad Moshiri,United Kingdom,60,1.8,Diversified
1011,Bobby Murphy,United States,27,1.8,Snapchat
1011,Kerr Neilson,Australia,66,1.8,Investment
1011,Jonathan Nelson,United States,59,1.8,Private Equity
1011,Femi Otedola,Nigeria,53,1.8,"Gas Stations, Utilities"
1011,Ajay Piramal,India,60,1.8,Pharmaceuticals
1011,Linda Pritzker,United States,62,1.8,"Hotels, Investments"
1011,John Reece,United Kingdom,58,1.8,Chemicals
1011,Jeff Rothschild,United States,61,1.8,Facebook
1011,B.R. Shetty,India,74,1.8,Healthcare
1011,Kavitark Ram Shriram,United States,59,1.8,"Venture Capital, Google"
1011,Michal Solowow,Poland,53,1.8,Investments
1011,Peter Sondakh,Indonesia,66,1.8,Investments
1011,Mark Stevens,United States,56,1.8,Venture Capital
1011,Sybill Storz,Germany,78,1.8,Medical Devices
1011,Sylvia Stroeher,Germany,60,1.8,Cosmetics
1011,Glen Taylor,United States,74,1.8,Printing
1011,Torbjorn Tornqvist,Sweden,62,1.8,Oil Trading
1011,John Tyson,United States,62,1.8,Food Processing
1011,Hamdi Ulukaya,Turkey,44,1.8,Chobani Yogurt
1011,Pham Nhat Vuong,Vietnam,47,1.8,Real Estate
1011,Wang Qingtao,China,54,1.8,Steel Smelting
1011,Amy Wyss,United States,45,1.8,Medical Equipment
1011,Xiong Xuqiang,Hong Kong,59,1.8,Real Estate
1011,Xu Jingren,China,71,1.8,Pharmaceuticals
1011,Zhu Qingyi,China,46,1.8,Real Estate
1011,Anita Zucker,United States,64,1.8,Chemicals
1067,Carol Jenkins Barnett,United States,59,1.7,Publix Supermarkets
1067,Hubertus Benteler,Germany,69,1.7,Auto Parts
1067,Vladimir Bogdanov,Russia,64,1.7,Oil
1067,Timothy Boyle,United States,66,1.7,Columbia Sportswear
1067,Michel Chalhoub,France,84,1.7,Retail
1067,Che Jianxing,China,49,1.7,Furniture Retailing
1067,Chu Lam Yiu,Hong Kong,46,1.7,Flavorings
1067,Jean Coutu,Canada,88,1.7,Pharmacies
1067,Kommer Damen,Netherlands,71,1.7,Shipbuilding
1067,Ray Davis,United States,74,1.7,Pipelines
1067,Fritz Draexlmaier,Germany,n/a,1.7,Auto Parts
1067,Fu Meicheng,China,58,1.7,"TV Shows, Movies"
1067,Rolf Gerling,Germany,61,1.7,Insurance
1067,Roberto Hernandez Ramirez,Mexico,73,1.7,Banking
1067,Christopher Hohn,United Kingdom,49,1.7,Hedge Fund
1067,W. Herbert Hunt,United States,87,1.7,Oil
1067,Kim Beom-Su,South Korea,49,1.7,Mobile Chat Service
1067,Koo Bon-Moo,South Korea,71,1.7,Electronics/Chemicals/Household Products
1067,Marc Lasry,United States,55,1.7,Hedge Funds
1067,Lee Seo-Hyun,South Korea,42,1.7,Computer Services/Tourism
1067,Li Shufu,China,52,1.7,Automobiles
1067,Liu Xiaodong,China,48,1.7,Flavorings
1067,Jeffrey Lorberbaum,United States,61,1.7,Flooring
1067,Catherine Lozick,United States,71,1.7,Valve Manufacturing
1067,Youssef Mansour,Egypt,70,1.7,Diversified
1067,Craig McCaw,United States,66,1.7,Telecom
1067,Lachhman Das Mittal,India,85,1.7,Tractors
1067,Nirav Modi,India,45,1.7,Diamond Jewelry
1067,Marius Nacht,Israel,50,1.7,Software
1067,Ranjan Pai,India,43,1.7,Education
1067,Forrest Preston,United States,82,1.7,Health Care
1067,Jennifer Pritzker,United States,64,1.7,"Hotels, Investments"
1067,Qin Yinglin,China,50,1.7,Pig Breeding
1067,Ren Zhengfei,China,72,1.7,Telecom Equipment
1067,Helena Revoredo,Spain,69,1.7,Private Security
1067,Stephen Rubin,United Kingdom,78,1.7,Sports Apparel
1067,Jacques Saade,France,79,1.7,Shipping
1067,Carlos Sanchez,Brazil,54,1.7,Generic Drugs
1067,"Karl Scheufele, III.",Switzerland,77,1.7,Jewelry
1067,Klaus-Peter Schulenberg,Germany,n/a,1.7,Ticketing Service
1067,Gerald Schwartz,Canada,74,1.7,Finance
1067,Shen Wenrong,China,70,1.7,Steel Production
1067,Don Simplot,United States,80,1.7,Fertilizer
1067,Gay Simplot,United States,71,1.7,Fertilizer
1067,Alexander Spanos,United States,92,1.7,Real Estate
1067,Sun Xishuang,China,62,1.7,Real Estate
1067,Leena Tewari,India,58,1.7,Pharmaceuticals
1067,Torsten Toeller,Germany,49,1.7,Pet Food
1067,Wang Wenjing,China,51,1.7,Business Software
1067,Kelcy Warren,United States,60,1.7,Pipelines
1067,Xu Ziquan,China,57,1.7,Software
1067,"Richard Yuengling, Jr.",United States,72,1.7,Beer
1067,Zhang Li,China,63,1.7,Real Estate
1067,Zhou Guohui,China,51,1.7,Logistics
1121,Folorunsho Alakija,Nigeria,65,1.6,Oil
1121,Carlos Ardila Lulle,Colombia,85,1.6,"Soft Drinks, Diversified"
1121,O. Francis Biondi,United States,51,1.6,Hedge Fund
1121,Thor Bjorgolfsson,Iceland,48,1.6,Investments
1121,Alberto Bombassei,Italy,75,1.6,Automotive Brakes
1121,Julio Bozano,Brazil,80,1.6,Banking
1121,Francesco Gaetano Caltagirone,Italy,72,1.6,"Cement, Diversified"
1121,Chen Jianhua,China,45,1.6,Chemicals
1121,Chen Jinxia,China,47,1.6,Investments
1121,Lucio and Susan Co,Philippines,61,1.6,Retailing
1121,"Robert Coyiuto, Jr.",Philippines,63,1.6,Power
1121,Belmiro de Azevedo,Portugal,77,1.6,Retail
1121,Benjamin de Rothschild,Switzerland,52,1.6,Banking
1121,Diego Della Valle,Italy,62,1.6,Shoes
1121,Ding Shijia,China,52,1.6,Sportswear
1121,Ding Shizhong,China,45,1.6,Sports Apparel
1121,Andre Esteves,Brazil,47,1.6,Banking
1121,Fu Guangming,China,62,1.6,Poultry
1121,Victor Fung,United States,70,1.6,Trading Company
1121,William Fung,Hong Kong,67,1.6,Sourcing
1121,Peter Gilgan,Canada,65,1.6,Homebuilding
1121,Sam Goi,Singapore,67,1.6,Frozen Foods
1121,Mitchell Goldhar,Canada,54,1.6,Real Estate
1121,Senapathy Gopalakrishnan,India,60,1.6,Software Services
1121,Allan Gray,South Africa,78,1.6,Money Management
1121,Alexandre Grendene Bartelle,Brazil,66,1.6,Shoes
1121,David Harding,United Kingdom,54,1.6,Finance
1121,Bill Haslam,United States,57,1.6,Truck Stops
1121,Brian Higgins,United States,51,1.6,Hedge Fund
1121,Hu Kaijun,China,54,1.6,Pharmaceuticals
1121,Huo Qinghua,China,54,1.6,Coal
1121,Ravi Jaipuria,India,61,1.6,Soft Drinks
1121,"Jim Justice, II.",United States,64,1.6,Coal
1121,Alexander Karp,United States,48,1.6,Software Firm
1121,Ke Xiping,China,55,1.6,Investments
1121,Suleiman Kerimov,Russia,49,1.6,Investments
1121,Karel Komarek,Czechia,46,1.6,Oil And Gas/Lottery
1121,Miguel Krigsner,Brazil,66,1.6,Cosmetics
1121,Willibert Krueger,Germany,75,1.6,Food Processing
1121,Lau Cho Kun,Malaysia,80,1.6,Palm Oil/Real Estate
1121,Lei Jufang,China,63,1.6,Pharmaceuticals
1121,Li Sze Lim,Hong Kong,58,1.6,Real Estate
1121,Lim Oon Kuin,Singapore,72,1.6,Oil Trading
1121,Lin Li,China,52,1.6,Investments
1121,Tianfu Lin,Hong Kong,53,1.6,"Footwear, Apparel"
1121,Kenneth Lo,United Kingdom,77,1.6,Textiles
1121,Lo Siu Yu,Hong Kong,46,1.6,Conglomerate
1121,Yusaku Maezawa,Japan,40,1.6,Online Retail
1121,Satish Mehta,India,65,1.6,Pharma
1121,Gary Michelson,United States,67,1.6,Medical Patents
1121,Martin Moller Nielsen,Denmark,51,1.6,Nordic Aviation Capital
1121,Martin Naughton,Ireland,76,1.6,Heating Equipment
1121,Nandan Nilekani,India,60,1.6,Software Services
1121,Or Wai Sheun,Hong Kong,64,1.6,Real Estate
1121,Karsanbhai Patel,India,72,1.6,Consumer Goods
1121,Stanley Perron,Australia,93,1.6,"Property, Retail"
1121,Peter Peterson,United States,89,1.6,Investments
1121,Carlos Rodriguez-Pastor,Peru,56,1.6,Finance
1121,Kjell Inge Rokke,Norway,57,1.6,"Shipping, Seafood"
1121,Eddy Kusnadi Sariaatmadja,Indonesia,62,1.6,"Media, Tech"
1121,Thaksin Shinawatra,Thailand,66,1.6,Investments
1121,Mikail Shishkhanov,Russia,43,1.6,"Oil, Banking, Real Estate"
1121,Ben Silbermann,United States,33,1.6,Pinterest
1121,Charles Simonyi,United States,68,1.6,Microsoft
1121,Thomas Steyer,United States,58,1.6,Hedge Funds
1121,Henry Swieca,United States,58,1.6,Hedge Funds
1121,Katsumi Tada,Japan,70,1.6,Real Estate
1121,Tian Ming,China,62,1.6,Measuring Instruments
1121,Robert Toennies,Germany,37,1.6,Meat Processing
1121,Tsai Hong-tu,Taiwan,63,1.6,Finance
1121,Wang Zhenghua,China,71,1.6,Budget Airline
1121,Charlotte Colket Weber,United States,73,1.6,Campbell Soup
1121,Ian Wood,United Kingdom,73,1.6,Energy Services
1121,Jon Yarbrough,United States,58,1.6,Video Games
1121,Zan Shengda,China,52,1.6,Diversified
1121,Zhu Baoguo,China,53,1.6,Pharmaceuticals
1121,Zhu Xingliang,China,56,1.6,Construction
1198,Syed Mokhtar AlBukhary,Malaysia,64,1.5,Diversified
1198,Leslie Alexander,United States,72,1.5,Houston Rockets
1198,Michael Ashcroft,United Kingdom,70,1.5,Security
1198,Nicolas Berggruen,United States,54,1.5,Investments
1198,Josef Boquoi,Germany,82,1.5,Frozen Foods
1198,Jaime Botin,Spain,79,1.5,Banking
1198,Ron Burkle,United States,63,1.5,"Supermarkets, Investments"
1198,Edouard Carmignac,France,68,1.5,Asset Management
1198,Sarah Chaney,United States,62,1.5,Cargill
1198,Cho Tak Wong,Hong Kong,69,1.5,Auto Parts
1198,Ciputra,Indonesia,84,1.5,Real Estate
1198,Alexandra Daitch,United States,53,1.5,Cargill
1198,John de Mol,Netherlands,60,1.5,TV
1198,Richard Desmond,United Kingdom,64,1.5,Publishing
1198,Fang Tonghua,China,53,1.5,Pharmaceuticals
1198,John Farber,United States,90,1.5,Chemicals
1198,Alexander Frolov,Russia,51,1.5,"Mining, Steel"
1198,Filaret Galchev,Russia,52,1.5,Construction Materials
1198,Christopher Goldsbury,United States,73,1.5,Salsa
1198,David Gottesman,United States,89,1.5,Investments
1198,Ryan Graves,United States,32,1.5,Uber
1198,Sait-Salam Gutseriev,Russia,56,1.5,"Oil, Banking, Real Estate"
1198,Christoph Henkel,Germany,58,1.5,Consumer Goods
1198,Alan Howard,United Kingdom,52,1.5,Hedge Funds
1198,Huang Hongyun,China,49,1.5,Real Estate
1198,Alijan Ibragimov,Kazakhstan,62,1.5,"Mining, Metals"
1198,Jiang Zhaobai,China,52,1.5,Real Estate
1198,George Joseph,United States,94,1.5,Insurance
1198,Vinod Khosla,United States,61,1.5,Venture Capital
1198,Kim Nam-Jung,South Korea,43,1.5,Food
1198,Vladimir Kim,Kazakhstan,55,1.5,Mining
1198,Wolfgang Leitner,Austria,62,1.5,Engineering
1198,Li Li,China,52,1.5,Pharmaceuticals
1198,Li Liufa,China,58,1.5,"Steel, Diversified"
1198,Lin Jianhua,China,53,1.5,Solar Panel Components
1198,Brandt Louie,Canada,72,1.5,Drug Store Chain
1198,Ma Hong,China,48,1.5,Apparel Retailer
1198,Alexander Machkevich,Israel,62,1.5,"Mining, Metals"
1198,Harsh Mariwala,India,64,1.5,Consumer Goods
1198,Gilles Martin,France,52,1.5,Laboratory Services
1198,Lorenzo Mendoza,Venezuela,50,1.5,Beverages
1198,P.N.C. Menon,Oman,67,1.5,Real Estate
1198,Azad Moopen,India,62,1.5,Healthcare
1198,Robert Mouawad,Lebanon,71,1.5,Fine Jewelry
1198,Ezra Nahmad,Monaco,70,1.5,Art
1198,Adam Neumann,Israel,36,1.5,WeWork
1198,Ni Zugen,China,59,1.5,Appliances
1198,Neal Patterson,United States,66,1.5,Health It
1198,David Penaloza Alanis,Mexico,42,1.5,Toll Roads
1198,Gregorio Perez Companc,Argentina,80,1.5,Oil And Gas
1198,"H. Ross Perot, Jr.",United States,57,1.5,Real Estate
1198,Qi Jinxing,China,53,1.5,Real Estate
1198,Phillip Ragon,United States,66,1.5,Health It
1198,Matthias Reinhart,Germany,56,1.5,Finance
1198,Filiz Sahenk,Turkey,49,1.5,"Bank, Media"
1198,Shi Yuzhu,China,53,1.5,"Online Games, Investments"
1198,Shuai Fangwen,China,49,1.5,Pharmaceuticals
1198,Jasminder Singh,United Kingdom,65,1.5,Hotels
1198,Ralph Sonnenberg,Netherlands,81,1.5,Blinds
1198,Lucy Stitzer,United States,56,1.5,Cargill
1198,Thomas Straumann,Switzerland,52,1.5,Dental Implants
1198,Katherine Tanner,United States,60,1.5,Cargill
1198,Jim Thompson,United States,76,1.5,Logistics
1198,Wichai Thongtang,Thailand,69,1.5,Investments
1198,Jitendra Virwani,India,50,1.5,Real Estate
1198,Todd Wagner,United States,55,1.5,Online Media
1198,Ronald Wanek,United States,74,1.5,Furniture
1198,Wang Jianfeng,China,46,1.5,Auto Parts
1198,Wang Laichun,China,48,1.5,Electronics Components
1198,Wang Laisheng,China,51,1.5,Electronics Components
1198,Wen Yibo,China,50,1.5,Wastewater Treatment
1198,Wong Man Li,Hong Kong,51,1.5,Furniture
1198,Jerry Yang,United States,47,1.5,Yahoo
1198,William Young,United States,75,1.5,Plastics
1198,Charles Zegar,United States,68,1.5,Blomberg LP
1198,Zhang Desheng,China,66,1.5,Manufacturing
1198,Zhou Hongyi,China,45,1.5,Security Software
1275,Soegiarto Adikoesoemo,Indonesia,77,1.4,Chemicals
1275,Farkhad Akhmedov,Russia,60,1.4,Natural Gas
1275,Abdullah Al Rajhi,Saudi Arabia,n/a,1.4,Banking
1275,"Herbert Allen, Jr.",United States,75,1.4,Investment Banking
1275,Igor Altushkin,Russia,45,1.4,Metals
1275,Koos Bekker,South Africa,63,1.4,"Media, Investments"
1275,Bernhard Braun-Luedicke,Germany,39,1.4,Medical Technology
1275,Eva Maria Braun-Luedicke,Germany,29,1.4,Medical Technology
1275,Friederike Braun-Luedicke,Germany,32,1.4,Medical Technologies
1275,Vivek Chand Burman,India,78,1.4,Consumer Goods
1275,Mike Cannon-Brookes,Australia,36,1.4,Business Software
1275,Chan Tan Ching-fen,Hong Kong,n/a,1.4,Real Estate
1275,Chen Yung-Tai,Taiwan,80,1.4,Real Estate
1275,Patokh Chodiev,Belgium,63,1.4,"Mining, Metals"
1275,Christopher Cline,United States,58,1.4,Coal
1275,Mark Coombs,United Kingdom,55,1.4,Finance
1275,Jack Cowin,Australia,73,1.4,Fast Food
1275,Luigi Cremonini,Italy,76,1.4,Meat Processing
1275,Darwin Deason,United States,75,1.4,Xerox
1275,Bulent Eczacibasi,Turkey,66,1.4,"Pharmaceuticals, Diversified"
1275,Faruk Eczacibasi,Turkey,61,1.4,"Pharmaceuticals, Diversified"
1275,David Einhorn,United States,47,1.4,Hedge Funds
1275,Scott Farquhar,Australia,36,1.4,Software
1275,"Frank Fertitta, III.",United States,54,1.4,"Casinos, Ultimate Fighting Championship"
1275,Lorenzo Fertitta,United States,47,1.4,"Casinos, Ultimate Fighting Championship"
1275,Robert Fisher,United States,62,1.4,Gap
1275,William Fisher,United States,58,1.4,Gap
1275,Mario Gabelli,United States,73,1.4,Money Management
1275,Gao Tianguo,China,64,1.4,"Real Estate, Finance"
1275,Alan Gerry,United States,86,1.4,Cable Television
1275,Balkrishan Goenka,India,49,1.4,Textiles
1275,Jonathan Gray,United States,46,1.4,Investments
1275,Jeffrey Gundlach,United States,57,1.4,Investments
1275,Stelios Haji-Ioannou,Cyprus,49,1.4,Easyjet
1275,Saad Hariri,Lebanon,45,1.4,"Construction, Investments"
1275,Gerry Harvey,Australia,76,1.4,Retail
1275,Timothy Headington,United States,65,1.4,"Oil & Gas, Investments"
1275,Hans-Werner Hector,Germany,76,1.4,Sap
1275,William Heinecke,Thailand,67,1.4,Hotels
1275,"B. Wayne Hughes, Jr.",United States,55,1.4,Storage Facilities
1275,Hamilton James,United States,64,1.4,Investments
1275,Jiang Wei,China,54,1.4,Pharmaceuticals
1275,"Anton Kathrein, Jr.",Germany,31,1.4,Antennas
1275,Danil Khachaturov,Russia,44,1.4,"Insurance, Banking, Real Estate"
1275,Pyotr Kondrashev,Russia,66,1.4,Fertilizers
1275,Lam Kong,China,51,1.4,Pharmaceuticals
1275,Eric Lefkofsky,United States,46,1.4,Groupon
1275,Angela Leong,Hong Kong,54,1.4,Casinos
1275,Li Wa,Hong Kong,50,1.4,Real Estate
1275,Liao Long-Shing,Taiwan,63,1.4,Petrochemicals
1275,David Lichtenstein,United States,54,1.4,Real Estate
1275,Suhon Lin,Taiwan,87,1.4,Petrochemicals
1275,Anatoly Lomakin,Russia,63,1.4,Fertilizers
1275,Pier Luigi Loro Piana,Italy,64,1.4,Fashion
1275,Ma Xingtian,China,46,1.4,Pharmaceuticals
1275,Rudolf Maag,Switzerland,70,1.4,Medical Devices
1275,Gary Magness,United States,62,1.4,"Cable TV, Investments"
1275,Yasseen Mansour,Egypt,54,1.4,Diversified
1275,Billy Joe (Red) McCombs,United States,88,1.4,"Real Estate, Oil, Cars"
1275,Gail Miller,United States,72,1.4,"Basketball, Car Dealers"
1275,Massimo Moratti,Italy,70,1.4,Oil Refinery
1275,Nelson Peltz,United States,73,1.4,Investments
1275,Roger Penske,United States,79,1.4,Cars
1275,Florentino Perez,Spain,68,1.4,Construction
1275,Julio Ponce,Chile,70,1.4,Fertilizer
1275,"Nicholas Pritzker, II.",United States,72,1.4,"Hotels, Investments"
1275,Horst Julius Pudwill,Germany,71,1.4,Manufacturing
1275,Theodore Rachmat,Indonesia,72,1.4,Diversified
1275,Rodney Sacks,United States,66,1.4,Energy Drinks
1275,T. Denny Sanford,United States,80,1.4,"Banking, Credit Cards"
1275,Fayez Sarofim,United States,87,1.4,Money Management
1275,Dieter Schaub,Germany,78,1.4,Media
1275,Shao Genhuo,China,50,1.4,Agribusiness
1275,Shin Dong-Bin,South Korea,61,1.4,Retailing
1275,Petter Stordalen,Norway,53,1.4,Hotels
1275,Frank Stronach,Canada,83,1.4,Auto Parts
1275,Alain Taravella,France,68,1.4,Real Estate
1275,Tsai Cheng-da,Taiwan,n/a,1.4,Finance
1275,Tseng Shin-Yi,Taiwan,88,1.4,Petrochemicals
1275,Tung Chee Chen,Hong Kong,74,1.4,Shipping
1275,Sandro Veronesi,Italy,56,1.4,Fashion Retailer
1275,Wang Jiufang,China,52,1.4,Real Estate
1275,Wei Ing-Chou,Taiwan,63,1.4,"Food, Beverages"
1275,Wei Yin-Chun,Taiwan,59,1.4,"Food, Beverages"
1275,Wei Yin-Heng,Taiwan,57,1.4,"Food, Beverages"
1275,Wei Ying-Chiao,Taiwan,61,1.4,"Food, Beverages"
1275,Wong Kwong Yu,China,46,1.4,Retail
1275,Wong Luen Hei,China,54,1.4,Home Building Materials
1275,Wu Jianshu,Hong Kong,52,1.4,Auto Parts
1275,Yuan Yafei,China,52,1.4,"Retailing, Investments"
1275,Zhang Changhong,China,57,1.4,Financial Information Service
1275,Zhou Yifeng,China,47,1.4,Chemicals
1367,Radhe Shyam Agarwal,India,71,1.3,Consumer Goods
1367,Aziz Akhannouch,Morocco,55,1.3,"Petroleum, Diversified"
1367,An Kang,China,67,1.3,Pharmaceuticals
1367,Edmund Ansin,United States,79,1.3,Television
1367,Mori Arkin,Israel,63,1.3,Pharmaceuticals
1367,Mehmet Aydinlar,Turkey,59,1.3,Hospitals
1367,Sezai Bacaksiz,Turkey,66,1.3,Diversified
1367,Miriam Baumann-Blocher,Switzerland,41,1.3,Chemicals
1367,Anne Beaufour,France,52,1.3,Pharmaceuticals
1367,Henri Beaufour,France,50,1.3,Pharmaceuticals
1367,Henadiy Boholyubov,Ukraine,54,1.3,"Banking, Investments"
1367,David Booth,United States,70,1.3,Mutual Funds
1367,Anand Burman,India,63,1.3,Consumer Goods
1367,Ahmet Calik,Turkey,58,1.3,"Energy, Media, Banking"
1367,Steve Case,United States,57,1.3,AOL
1367,Herb Chambers,United States,74,1.3,Car Dealerships
1367,C.F. Chan,Hong Kong,97,1.3,Hotels
1367,Chang Pyung-Soon,South Korea,65,1.3,Educational Services
1367,Chao Teng-Hsiung,Taiwan,72,1.3,Real Estate
1367,Chen Baozhen,China,73,1.3,Internet
1367,Choo Chong Ngen,Singapore,62,1.3,Hotels
1367,Turgay Ciner,Turkey,60,1.3,Diversified
1367,Jacques D'Amours,Canada,59,1.3,Retail
1367,Gustavo Denegri,Italy,80,1.3,Medical Tests
1367,Mark Dixon,United Kingdom,57,1.3,Office Real Estate
1367,Domenico Dolce,Italy,57,1.3,Dolce & Gabbana
1367,John Edson,United States,83,1.3,Leisure Craft
1367,N. Murray Edwards,Canada,56,1.3,Oil & Gas
1367,Bob Ell,Australia,71,1.3,Property
1367,Marcel Erni,Switzerland,51,1.3,Private Equity
1367,Gabriel Escarrer,Spain,81,1.3,Hotels
1367,Martha Ford,United States,90,1.3,Ford Motor
1367,Andrew Forrest,Australia,54,1.3,Mining
1367,Walter Frey,Switzerland,72,1.3,Emil Frey Group
1367,Stefano Gabbana,Italy,53,1.3,Dolce & Gabbana
1367,Alfred Gantner,Switzerland,47,1.3,Private Equity
1367,Reinold Geiger,Austria,68,1.3,Beauty Products
1367,Anne Gittinger,United States,80,1.3,Nordstrom Department Stores
1367,Harsh Goenka,India,58,1.3,Diversified
1367,Radhe Shyam Goenka,India,70,1.3,Consumer Goods
1367,Polys Haji-Ioannou,Cyprus,56,1.3,Easyjet
1367,Yusuf Hamied,India,79,1.3,Pharmaceuticals
1367,Jonathan Harmsworth,United Kingdom,48,1.3,Publishing
1367,Jost Hellmann,Germany,63,1.3,Logistics
1367,Klaus Hellmann,Germany,67,1.3,Logistics
1367,Lutz Mario Helmig,Germany,69,1.3,Medical Facilities
1367,Asok Kumar Hiranandani,Singapore,61,1.3,Real Estate
1367,Hua Yong,China,52,1.3,Software
1367,Huang Li,China,52,1.3,Infrared Imaging Systems
1367,Huang Qisen,China,51,1.3,Real Estate
1367,Huang Zhenda,China,68,1.3,Construction
1367,Hung Yau Lit,China,54,1.3,Intimate Wear
1367,Keeree Kanjanapas,Thailand,66,1.3,Transportation
1367,Johannes Karcher,Germany,65,1.3,Vacuums/Cleaning Products
1367,Kei Hoi Pang,China,50,1.3,Real Estate
1367,Sidney Kimmel,United States,88,1.3,Retail
1367,Seth Klarman,United States,58,1.3,Investments
1367,Ihor Kolomoyskyy,Ukraine,53,1.3,"Banking, Investments"
1367,Guy Laliberte,Canada,56,1.3,Cirque Du Soleil
1367,Lee Hwa-Kyung,South Korea,60,1.3,Snack Foods
1367,James Leininger,United States,70,1.3,Medical Products
1367,Li Weiwei,China,39,1.3,Online Games
1367,Liang Guangwei,China,52,1.3,"Batteries, Mini Motors"
1367,Lin Ming-Hsiung,Taiwan,66,1.3,Retail
1367,Scott Lin,Taiwan,n/a,1.3,Optical Components
1367,Lu Di,China,n/a,1.3,Drones
1367,Miao Shouliang,China,61,1.3,"Real Estate, Diversified"
1367,Gian Marco Moratti,Italy,79,1.3,Oil Refinery
1367,Ou Zongrong,China,52,1.3,Real Estate
1367,Nihat Ozdemir,Turkey,65,1.3,Diversified
1367,Markus Persson,Sweden,36,1.3,Minecraft
1367,Erika Pohl-Stroeher,Germany,97,1.3,Hair Products
1367,Jerry Reinsdorf,United States,80,1.3,Sports Teams
1367,Ren Jianhua,China,59,1.3,Kitchen Appliances
1367,J. Joe Ricketts,United States,74,1.3,TD Ameritrade
1367,Brian Roberts,United States,56,1.3,Comcast
1367,Fernando Roig,Spain,68,1.3,Supermarkets
1367,Alexander Rovt,United States,63,1.3,"Fertilizer, Real Estate"
1367,Lily Safra,Monaco,78,1.3,Banking
1367,Thomas Sandell,Sweden,55,1.3,Hedge Funds
1367,Leonard Schleifer,United States,63,1.3,Pharmaceuticals
1367,Hilton Schlosberg,United Kingdom,63,1.3,Monster Energy Drinks
1367,Shao Zhongyi,China,47,1.3,Soybean Trading
1367,Djoko Susanto,Indonesia,66,1.3,Retail
1367,Sukanto Tanoto,Indonesia,66,1.3,Diversified
1367,Wilma Tisch,United States,88,1.3,Diversified
1367,Kenny Troutt,United States,68,1.3,Telecommunications
1367,Wim Van Der Leegte,Netherlands,68,1.3,Manufacturing
1367,Thongma Vijitpongpun,Thailand,57,1.3,Real Estate
1367,Manuel Villar,Philippines,66,1.3,Real Estate
1367,Heloise Waislitz,Australia,53,1.3,Packaging
1367,Wang Chaobin,China,60,1.3,Real Estate
1367,Wang Han,China,28,1.3,"Airline, Diversified"
